mouseSYM	humanSYM
Aamdc	AAMDC
Aamp	AAMP
Aanat	AANAT
Aar2	AAR2
Aard	AARD
Aars	AARS1
Aars1	AARS1
Aars2	AARS2
Aarsd1	AARSD1
Aarsd1	PTGES3L-AARSD1
Aasdh	AASDH
Aasdhppt	AASDHPPT
Aass	AASS
Aatf	AATF
Aatk	AATK
Abat	ABAT
Abca1	ABCA1
Abca12	ABCA12
Abca13	ABCA13
Abca15	CRYM-AS1
Abca17	ABCA17P
Abca2	ABCA2
Abca3	ABCA3
Abca4	ABCA4
Abca5	ABCA5
Abca6	ABCA6
Abca7	ABCA7
Abca8a	ABCA8
Abca8b	ABCA8
Abca9	ABCA9
Abcb10	ABCB10
Abcb11	ABCB11
Abcb1a	ABCB1
Abcb1b	ABCB1
Abcb4	ABCB4
Abcb5	ABCB5
Abcb6	ABCB6
Abcb7	ABCB7
Abcb8	ABCB8
Abcb9	ABCB9
Abcc1	ABCC1
Abcc10	ABCC10
Abcc12	ABCC12
Abcc2	ABCC2
Abcc3	ABCC3
Abcc4	ABCC4
Abcc5	ABCC5
Abcc6	ABCC6
Abcc8	ABCC8
Abcc9	ABCC9
Abcd1	ABCD1
Abcd2	ABCD2
Abcd3	ABCD3
Abcd4	ABCD4
Abce1	ABCE1
Abcf1	ABCF1
Abcf2	ABCF2-H2BE1
Abcf2	ABCF2
Abcf2	ABCF2-H2BK1
Abcf3	ABCF3
Abcg1	ABCG1
Abcg2	ABCG2
Abcg3	ABCG2
Abcg4	ABCG4
Abcg5	ABCG5
Abcg8	ABCG8
Abhd1	ABHD1
Abhd10	ABHD10
Abhd11	ABHD11
Abhd12	ABHD12
Abhd12b	ABHD12B
Abhd13	ABHD13
Abhd14a	ABHD14A
Abhd14b	ABHD14B
Abhd15	ABHD15
Abhd16a	ABHD16A
Abhd16b	ABHD16B
Abhd17a	ABHD17A
Abhd17b	ABHD17B
Abhd17c	ABHD17C
Abhd18	ABHD18
Abhd2	ABHD2
Abhd3	ABHD3
Abhd4	ABHD4
Abhd5	ABHD5
Abhd6	ABHD6
Abhd8	ABHD8
Abi1	ABI1
Abi2	ABI2
Abi3	ABI3
Abi3bp	ABI3BP
Abitram	ABITRAM
Abl1	ABL1
Abl2	ABL2
Ablim1	ABLIM1
Ablim2	ABLIM2
Ablim3	ABLIM3
Abo	ABO
Abr	ABR
Abra	ABRA
Abracl	ABRACL
Abraxas1	ABRAXAS1
Abraxas2	ABRAXAS2
Abt1	ABT1
Abtb1	ABTB1
Abtb2	ABTB2
Abtb3	ABTB3
Acaa1a	ACAA1
Acaa1b	ACAA1
Acaa2	ACAA2
Acaca	ACACA
Acacb	ACACB
Acad10	ACAD10
Acad11	ACAD11
Acad12	ACAD10
Acad8	ACAD8
Acad9	ACAD9
Acadl	ACADL
Acadm	ACADM
Acads	ACADS
Acadsb	ACADSB
Acadvl	ACADVL
Acan	ACAN
Acap1	ACAP1
Acap2	ACAP2
Acap3	ACAP3
Acat1	ACAT1
Acat2	ACAT2
Acat3	ACAT2
Acbd3	ACBD3
Acbd4	ACBD4
Acbd5	ACBD5
Acbd6	ACBD6
Acbd7	ACBD7
Accs	ACCS
Accsl	ACCSL
Acd	ACD
Ace	ACE
Ace2	ACE2
Ace3	ACE3P
Acer1	ACER1
Acer2	ACER2
Acer3	ACER3
Ache	ACHE
Acin1	ACIN1
Ackr1	ACKR1
Ackr2	ACKR2
Ackr3	ACKR3
Ackr4	ACKR4
Acly	ACLY
Acmsd	ACMSD
Aco1	ACO1
Aco2	ACO2
Acod1	ACOD1
Acot1	ACOT1
Acot1	ACOT2
Acot10	ACOT9
Acot11	ACOT11
Acot12	ACOT12
Acot13	ACOT13
Acot2	ACOT1
Acot2	ACOT2
Acot3	ACOT1
Acot3	ACOT2
Acot4	ACOT4
Acot5	ACOT1
Acot5	ACOT2
Acot6	ACOT6
Acot7	ACOT7
Acot8	ACOT8
Acot9	ACOT9
Acox1	ACOX1
Acox2	ACOX2
Acox3	ACOX3
Acoxl	ACOXL
Acp1	ACP1
Acp2	ACP2
Acp3	ACP3
Acp4	ACP4
Acp5	ACP5
Acp6	ACP6
Acp7	ACP7
Acpp	ACP3
Acr	ACR
Acrbp	ACRBP
Acrv1	ACRV1
Acsbg1	ACSBG1
Acsbg2	ACSBG2
Acsf2	ACSF2
Acsf3	ACSF3
Acsl1	ACSL1
Acsl3	ACSL3
Acsl4	ACSL4
Acsl5	ACSL5
Acsl6	AC034228.3
Acsl6	ACSL6
Acsm1	ACSM1
Acsm2	ACSM2A
Acsm2	ACSM2B
Acsm3	ACSM3
Acsm4	ACSM4
Acsm5	ACSM5
Acss1	ACSS1
Acss2	ACSS2
Acss3	ACSS3
Acta1	ACTA1
Acta2	ACTA2
Actb	ACTB
Actbl2	ACTBL2
Actc1	ACTC1
Acte1	ACTE1P
Actg1	ACTG1
Actg2	ACTG2
Actl10	ACTL10
Actl11	ACTL11P
Actl6a	ACTL6A
Actl6b	ACTL6B
Actl7a	ACTL7A
Actl7b	ACTL7B
Actl9	ACTL9
Actmap	ACTMAP
Actn1	ACTN1
Actn2	ACTN2
Actn3	ACTN3
Actn4	ACTN4
Actr10	ACTR10
Actr1a	ACTR1A
Actr1b	ACTR1B
Actr2	ACTR2
Actr3	ACTR3
Actr3b	ACTR3B
Actr5	ACTR5
Actr6	ACTR6
Actr8	ACTR8
Actrt1	ACTRT1
Actrt2	ACTRT2
Actrt3	ACTRT3
Acvr1	ACVR1
Acvr1b	ACVR1B
Acvr1c	ACVR1C
Acvr2a	ACVR2A
Acvr2b	ACVR2B
Acvrl1	ACVRL1
Acy1	ABHD14A-ACY1
Acy1	ACY1
Acy3	ACY3
Acyp1	ACYP1
Acyp2	ACYP2
Ada	ADA
Adad1	ADAD1
Adad2	ADAD2
Adal	ADAL
Adam10	ADAM10
Adam11	ADAM11
Adam12	ADAM12
Adam15	ADAM15
Adam17	ADAM17
Adam18	ADAM18
Adam19	ADAM19
Adam1a	ADAM1A
Adam1b	ADAM1B
Adam2	ADAM2
Adam20	ADAM20
Adam21	ADAM21
Adam22	ADAM22
Adam23	ADAM23
Adam24	ADAM24P
Adam25	ADAM20
Adam28	ADAM28
Adam29	ADAM29
Adam3	ADAM3A
Adam30	ADAM30
Adam32	ADAM32
Adam33	ADAM33
Adam39	ADAM20
Adam5	ADAM5
Adam6a	ADAM6
Adam7	ADAM7
Adam8	ADAM8
Adam9	ADAM9
Adamdec1	ADAMDEC1
Adamts1	ADAMTS1
Adamts10	ADAMTS10
Adamts12	ADAMTS12
Adamts13	ADAMTS13
Adamts14	ADAMTS14
Adamts15	ADAMTS15
Adamts16	ADAMTS16
Adamts17	ADAMTS17
Adamts18	ADAMTS18
Adamts19	ADAMTS19
Adamts2	ADAMTS2
Adamts20	ADAMTS20
Adamts3	ADAMTS3
Adamts4	ADAMTS4
Adamts5	ADAMTS5
Adamts6	ADAMTS6
Adamts7	ADAMTS7
Adamts8	ADAMTS8
Adamts9	ADAMTS9
Adamtsl1	ADAMTSL1
Adamtsl2	ADAMTSL2
Adamtsl3	ADAMTSL3
Adamtsl4	ADAMTSL4
Adamtsl5	ADAMTSL5
Adap1	ADAP1
Adap2	ADAP2
Adar	ADAR
Adarb1	ADARB1
Adarb2	ADARB2
Adat1	ADAT1
Adat2	ADAT2
Adat3	ADAT3
Adck1	ADCK1
Adck2	ADCK2
Adck5	ADCK5
Adcy1	ADCY1
Adcy10	ADCY10
Adcy2	ADCY2
Adcy3	ADCY3
Adcy4	ADCY4
Adcy5	ADCY5
Adcy6	ADCY6
Adcy7	ADCY7
Adcy8	ADCY8
Adcy9	ADCY9
Adcyap1	ADCYAP1
Adcyap1r1	ADCYAP1R1
Add1	ADD1
Add2	ADD2
Add3	ADD3
Adgb	ADGB
Adgra1	ADGRA1
Adgra2	ADGRA2
Adgra3	ADGRA3
Adgrb1	ADGRB1
Adgrb2	ADGRB2
Adgrb3	ADGRB3
Adgrd1	ADGRD1
Adgre1	ADGRE1
Adgre4	ADGRE4P
Adgre5	ADGRE5
Adgre5	ADGRE2
Adgrf1	ADGRF1
Adgrf2	ADGRF2
Adgrf3	ADGRF3
Adgrf4	ADGRF4
Adgrf5	ADGRF5
Adgrg1	ADGRG1
Adgrg2	ADGRG2
Adgrg3	ADGRG3
Adgrg4	ADGRG4
Adgrg5	ADGRG5
Adgrg6	ADGRG6
Adgrg7	ADGRG7
Adgrl1	ADGRL1
Adgrl2	ADGRL2
Adgrl3	ADGRL3
Adgrl4	ADGRL4
Adgrv1	ADGRV1
Adh1	ADH1A
Adh1	ADH1B
Adh1	ADH1C
Adh4	ADH4
Adh5	ADH5
Adh6b	ADH6
Adh7	ADH7
Adhfe1	AC009879.2
Adhfe1	AC009879.3
Adhfe1	ADHFE1
Adi1	ADI1
Adig	ADIG
Adipoq	ADIPOQ
Adipor1	ADIPOR1
Adipor2	ADIPOR2
Adissp	ADISSP
Adk	ADK
Adm	ADM
Adm2	ADM2
Adnp	ADNP
Adnp2	ADNP2
Ado	ADO
Adora1	ADORA1
Adora2a	ADORA2A
Adora2b	ADORA2B
Adora3	ADORA3
Adpgk	ADPGK
Adprh	ADPRH
Adprhl1	ADPRHL1
Adprhl2	ADPRS
Adprm	ADPRM
Adprs	ADPRS
Adra1a	ADRA1A
Adra1b	ADRA1B
Adra1d	ADRA1D
Adra2a	ADRA2A
Adra2b	ADRA2B
Adra2c	ADRA2C
Adrb1	ADRB1
Adrb2	ADRB2
Adrb3	AC144573.1
Adrb3	ADRB3
Adrm1	ADRM1
Adrm1b	ADRM1
Adsl	ADSL
Adss	ADSS2
Adss1	ADSS1
Adss2	ADSS2
Adssl1	ADSS1
Adtrp	ADTRP
Aebp1	AEBP1
Aebp2	AEBP2
Aen	AEN
Afap1	AFAP1
Afap1l1	AFAP1L1
Afap1l2	AFAP1L2
Afdn	AFDN
Aff1	AFF1
Aff2	AFF2
Aff3	AFF3
Aff4	AFF4
Afg1l	AFG1L
Afg2a	AFG2A
Afg2b	AFG2B
Afg3l1	AFG3L1P
Afg3l2	AFG3L2
Afm	AFM
Afmid	AFMID
Afp	AFP
Aftph	AFTPH
Aga	AGA
Agap1	AGAP1
Agap1	AGAP11
Agap1	AGAP5
Agap1	AGAP7P
Agap1	AGAP9
Agap2	AGAP2
Agap3	AGAP3
Agbl1	AGBL1
Agbl2	AGBL2
Agbl3	AGBL3
Agbl4	AGBL4
Agbl5	AGBL5
Ager	AGER
Agfg1	AGFG1
Agfg2	AGFG2
Aggf1	AGGF1
Aggf1	AC008581.2
Agk	AGK
Agl	AGL
Agmat	AGMAT
Agmo	AGMO
Ago1	AGO1
Ago2	AGO2
Ago3	AGO3
Ago4	AGO4
Agpat1	AGPAT1
Agpat2	AGPAT2
Agpat3	AGPAT3
Agpat4	AGPAT4
Agpat5	AGPAT5
Agps	AGPS
Agr2	AGR2
Agr3	AGR3
Agrn	AGRN
Agrp	AGRP
Agt	AGT
Agtpbp1	AGTPBP1
Agtr1a	AGTR1
Agtr1b	AGTR1
Agtr2	AGTR2
Agtrap	AGTRAP
Agxt	AGXT
Agxt2	AGXT2
Ahctf1	AHCTF1
Ahcy	AHCY
Ahcyl	AHCY
Ahcyl1	AHCYL1
Ahcyl2	AHCYL2
Ahdc1	AHDC1
Ahi1	AHI1
Ahnak	AHNAK
Ahnak2	AHNAK2
Ahr	AHR
Ahr	AC019117.3
Ahrr	AHRR
Ahsa1	AHSA1
Ahsa2	AHSA2P
Ahsg	AHSG
Ahsp	AHSP
Aicda	AICDA
Aida	AIDA
Aif1	AIF1
Aif1l	AIF1L
Aifm1	AIFM1
Aifm2	AIFM2
Aifm3	AIFM3
Aig1	AIG1
Aim2	AIM2
Aimp1	AIMP1
Aimp2	AIMP2
Aip	AIP
Aipl1	AIPL1
Aire	AIRE
Airim	AIRIM
Airn	AIRN
Ajap1	AJAP1
Ajm1	AJM1
Ajuba	AJUBA
Ak1	AK1
Ak2	AK2
Ak3	AK3
Ak4	AK4
Ak5	AK5
Ak6	TAF9
Ak6	AK6
Ak7	AK7
Ak8	AK8
Ak9	AK9
Akain1	AKAIN1
Akap1	AKAP1
Akap10	AKAP10
Akap11	AKAP11
Akap12	AKAP12
Akap13	AKAP13
Akap14	AKAP14
Akap17b	AKAP17A
Akap17b	AKAP17BP
Akap3	AKAP3
Akap4	AKAP4
Akap5	AKAP5
Akap6	AKAP6
Akap7	AKAP7
Akap8	AKAP8
Akap8l	AKAP8L
Akap9	AKAP9
Akip1	AKIP1
Akirin1	AKIRIN1
Akirin2	AKIRIN2
Akna	AKNA
Aknad1	AKNAD1
Akp3	ALPP
Akp3	ALPG
Akp3	ALPI
Akr1a1	AKR1A1
Akr1b1	AKR1B1
Akr1b10	AKR1B10
Akr1b10	AKR1B15
Akr1b3	AKR1B1
Akr1b7	AKR1B10
Akr1b7	AKR1B15
Akr1b8	AKR1B10
Akr1b8	AKR1B15
Akr1c12	AKR1C4
Akr1c13	AKR1C4
Akr1c14	AKR1C1
Akr1c14	AKR1C2
Akr1c14	AKR1C3
Akr1c14	AKR1C4
Akr1c18	AKR1C3
Akr1c19	AKR1C4
Akr1c20	AKR1C1
Akr1c20	AKR1C2
Akr1c20	AKR1C3
Akr1c20	AKR1C4
Akr1c21	AKR1C1
Akr1c21	AKR1C2
Akr1c21	AKR1C4
Akr1c6	AKR1C1
Akr1c6	AKR1C2
Akr1c6	AKR1C3
Akr1c6	AKR1C4
Akr1cl	AKR1C1
Akr1cl	AKR1C2
Akr1cl	AKR1C3
Akr1d1	AKR1D1
Akr1e1	AKR1E2
Akr7a5	AKR7L
Akr7a5	AKR7A2
Akr7a5	AKR7A3
Akt1	AKT1
Akt1s1	AKT1S1
Akt2	AKT2
Akt3	AKT3
Aktip	AKTIP
Alad	ALAD
Alas1	ALAS1
Alas2	ALAS2
Alb	ALB
Alcam	ALCAM
Aldh16a1	ALDH16A1
Aldh18a1	ALDH18A1
Aldh1a1	ALDH1A1
Aldh1a2	ALDH1A2
Aldh1a3	ALDH1A3
Aldh1a7	ALDH1A1
Aldh1b1	ALDH1B1
Aldh1l1	ALDH1L1
Aldh1l2	ALDH1L2
Aldh2	AC002996.1
Aldh2	ALDH2
Aldh3a1	ALDH3A1
Aldh3a2	ALDH3A2
Aldh3b1	ALDH3B1
Aldh3b2	ALDH3B2
Aldh3b3	ALDH3B2
Aldh4a1	ALDH4A1
Aldh5a1	ALDH5A1
Aldh6a1	ALDH6A1
Aldh7a1	ALDH7A1
Aldh8a1	ALDH8A1
Aldh9a1	ALDH9A1
Aldoa	ALDOA
Aldoart1	ALDOA
Aldoart2	ALDOA
Aldob	ALDOB
Aldoc	ALDOC
Alg1	ALG1
Alg1	ALG1L
Alg1	ALG1L2
Alg1	ALG1L1P
Alg10b	ALG10
Alg10b	ALG10B
Alg11	ALG11
Alg12	ALG12
Alg13	ALG13
Alg14	ALG14
Alg2	ALG2
Alg3	ALG3
Alg5	ALG5
Alg6	ALG6
Alg8	ALG8
Alg9	ALG9
Alg9	AP001781.2
Alk	ALK
Alkal1	ALKAL1
Alkal2	ALKAL2
Alkbh1	ALKBH1
Alkbh2	ALKBH2
Alkbh3	ALKBH3
Alkbh4	ALKBH4
Alkbh5	ALKBH5
Alkbh6	ALKBH6
Alkbh7	ALKBH7
Alkbh8	ALKBH8
Allc	ALLC
Alms1	ALMS1
Alox12	ALOX12
Alox12b	ALOX12B
Alox15	ALOX15
Alox5	ALOX5
Alox5ap	ALOX5AP
Alox8	ALOX15B
Aloxe3	ALOXE3
Alpi	ALPP
Alpi	ALPG
Alpi	ALPI
Alpk1	ALPK1
Alpk2	ALPK2
Alpk3	ALPK3
Alpl	ALPL
Alppl2	ALPP
Alppl2	ALPG
Alppl2	ALPI
Als2	ALS2
Als2cl	ALS2CL
Alx1	ALX1
Alx3	ALX3
Alx4	ALX4
Alyref	ALYREF
Alyref2	ALYREF
Alyreffm1	ALYREF
Alyreffm10	ALYREF
Alyreffm11	ALYREF
Alyreffm3	ALYREF
Alyreffm4	ALYREF
Alyreffm5	ALYREF
Alyreffm6	ALYREF
Alyreffm7	ALYREF
Alyreffm8	ALYREF
Alyreffm9	ALYREF
Amacr	AMACR
Ambn	AMBN
Ambp	AMBP
Ambra1	AMBRA1
Amd1	AMD1
Amd2	AMD1
Amdhd1	AMDHD1
Amdhd2	AC093525.1
Amdhd2	AMDHD2
Amelx	AMELX
Amelx	AMELY
Amer1	AMER1
Amer2	AMER2
Amer3	AMER3
Amfr	AMFR
Amh	AMH
Amhr2	AMHR2
Amigo1	AMIGO1
Amigo2	AMIGO2
Amigo3	AMIGO3
Ammecr1	AMMECR1
Ammecr1l	AMMECR1L
Amn	AMN
Amn1	AMN1
Amot	AMOT
Amotl1	AMOTL1
Amotl2	AMOTL2
Ampd1	AMPD1
Ampd2	AMPD2
Ampd3	AMPD3
Amph	AMPH
Amt	AC104452.1
Amt	AMT
Amtn	AMTN
Amy1	AMY1A
Amy1	AMY1B
Amy1	AMY1C
Amy1	AMY2A
Amy1	AMY2B
Amy2a1	AMY1A
Amy2a1	AMY1B
Amy2a1	AMY1C
Amy2a1	AMY2A
Amy2a1	AMY2B
Amy2a2	AMY1A
Amy2a2	AMY1B
Amy2a2	AMY1C
Amy2a2	AMY2A
Amy2a2	AMY2B
Amy2a3	AMY1A
